Gait cycle [%],Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt
17,-1.74773,7.28745,7.82151,-3.20123,6.04911,6.52756,-3.94792,6.06319,8.2151,-4.37486,5.22269,6.17029,-5.04564,5.73466,6.40064,-3.77487,4.43304,7.48805,-3.11805,5.17074,7.19705,-4.32583,4.41247,5.80989,-4.971,4.33542,6.12518,-4.66071,4.83966,5.54809,-4.28866,6.25874,5.2668,-3.75059,7.27816,3.4666,-3.6718,5.3991,7.21782,-3.55393,5.35159,5.40145,-3.80174,5.80134,5.7379,-4.48243,7.30047,5.76976,-4.73341,5.44378,6.07186,-4.08538,3.57809,5.86444,-3.67948,6.64205,5.45377,-4.92733,5.08489,6.3669,-4.15387,5.81692,5.07531,-4.17031,5.10533,5.86006,-4.79813,6.58916,4.75349,-3.46778,8.43253,5.07112,-3.78736,7.19246,6.28225,-3.16122,7.0804,5.3107,-3.5207,7.84853,4.94549,-4.56554,5.59651,5.2132,-3.89962,4.34263,6.64724,-3.53707,6.72116,5.57356,-3.60732,3.2463,6.85569,-2.78673,5.39404,6.23338,-4.25062,5.81835,6.52483,-4.49282,7.62981,5.22215,-4.01384,6.14434,6.39903,-4.31926,5.86204,6.44016
18,-1.90044,7.26856,8.00966,-3.33554,6.12479,6.68749,-4.13378,5.95168,8.39357,-4.49194,5.14586,6.34606,-5.24541,5.65159,6.60704,-4.01678,4.27172,7.68003,-3.29732,5.21493,7.44278,-4.49412,4.38855,5.99508,-5.1544,4.24186,6.32143,-4.84214,4.935,5.75312,-4.42616,6.14316,5.47057,-3.83827,7.37745,3.65189,-3.87557,5.2815,7.49135,-3.71639,5.44769,5.58017,-3.94416,5.89744,5.92627,-4.65561,7.48599,6.09581,-4.91296,5.46216,6.29003,-4.26744,3.59453,6.10232,-3.83206,6.68953,5.66278,-5.07172,5.15295,6.63982,-4.29463,5.73816,5.21329,-4.32189,5.22265,6.07493,-4.94091,6.66861,4.99014,-3.58744,8.46585,5.26446,-3.90114,7.29081,6.52249,-3.22212,7.25655,5.51088,-3.66477,8.03224,5.14251,-4.69275,5.65291,5.3706,-4.12787,4.40196,6.88081,-3.61148,6.88472,5.75496,-3.73309,3.27423,7.11588,-2.95905,5.45024,6.38928,-4.43289,5.82967,6.7608,-4.6476,7.78347,5.42309,-4.19368,6.22761,6.59635,-4.44908,6.01708,6.64951
19,-2.0679,7.21328,8.18701,-3.47229,6.1555,6.82901,-4.33419,5.80318,8.56637,-4.60744,5.03012,6.51247,-5.4373,5.53336,6.79446,-4.27061,4.08139,7.86086,-3.47176,5.19583,7.66285,-4.66336,4.32382,6.16538,-5.32489,4.07205,6.49783,-5.01664,4.97219,5.95217,-4.56379,5.9929,5.67405,-3.91999,7.46557,3.85158,-4.09758,5.12257,7.75067,-3.89283,5.51683,5.78074,-4.08822,5.93654,6.10544,-4.81789,7.6214,6.39985,-5.08577,5.42102,6.50225,-4.44432,3.56867,6.33772,-3.99751,6.6857,5.87609,-5.23494,5.1992,6.90986,-4.43871,5.61347,5.35514,-4.48467,5.29407,6.28511,-5.0884,6.70557,5.22185,-3.71058,8.46752,5.45607,-4.03251,7.35698,6.77747,-3.30268,7.39731,5.72785,-3.79723,8.15216,5.3162,-4.81309,5.67759,5.52753,-4.35291,4.4103,7.09898,-3.69581,7.00795,5.94648,-3.87257,3.27769,7.37042,-3.14427,5.47532,6.55536,-4.62509,5.7952,6.99734,-4.79762,7.86723,5.617,-4.38983,6.28444,6.80108,-4.59647,6.14202,6.87606
20,-2.24741,7.12299,8.34536,-3.60759,6.13437,6.94414,-4.54353,5.61916,8.72821,-4.72412,4.87911,6.66857,-5.61685,5.38069,6.95755,-4.52897,3.86834,8.02568,-3.6351,5.11286,7.84644,-4.82434,4.22154,6.31031,-5.48541,3.83432,6.65399,-5.17806,4.94473,6.13128,-4.70124,5.81258,5.87311,-3.99269,7.53531,4.05591,-4.32208,4.92643,7.98036,-4.07086,5.552,5.98847,-4.23118,5.91751,6.2689,-4.96208,7.70141,6.66853,-5.24578,5.3152,6.69193,-4.60843,3.49812,6.55123,-4.16303,6.62607,6.07171,-5.40556,5.22104,7.16245,-4.58029,5.44339,5.49479,-4.64947,5.31526,6.47849,-5.23039,6.69806,5.43613,-3.82894,8.43253,5.63584,-4.17214,7.3883,7.03159,-3.39767,7.49651,5.94874,-3.91306,8.19855,5.45778,-4.92445,5.66426,5.67164,-4.56446,4.36407,7.28683,-3.78425,7.08076,6.13176,-4.01522,3.25688,7.60538,-3.33172,5.46881,6.71925,-4.81722,5.71301,7.22045,-4.93377,7.87395,5.78724,-4.58908,6.30598,7.00075,-4.75477,6.23243,7.10412
21,-2.43939,7.00197,8.481,-3.74237,6.05838,7.03061,-4.75769,5.40386,8.87628,-4.84675,4.69891,6.81665,-5.78288,5.19668,7.09598,-4.78588,3.64033,8.17271,-3.78585,4.97314,7.99055,-4.97227,4.0875,6.42513,-5.64258,3.54319,6.79456,-5.32451,4.85234,6.28184,-4.84088,5.60934,6.06666,-4.05564,7.58161,4.25772,-4.53663,4.69988,8.17022,-4.24114,5.54941,6.19017,-4.37437,5.84551,6.41589,-5.08758,7.72545,6.89692,-5.39015,5.14607,6.84948,-4.75695,3.38643,6.73088,-4.3197,6.51218,6.23465,-5.57353,5.2173,7.38701,-4.71747,5.23364,5.63,-4.81008,5.28661,6.64748,-5.36065,6.64835,5.62595,-3.93711,8.35944,5.79837,-4.31032,7.38486,7.27108,-3.50126,7.55389,6.16279,-4.0134,8.16986,5.56691,-5.0284,5.61054,5.79503,-4.75722,4.26497,7.4368,-3.87241,7.09745,6.29859,-4.15161,3.2136,7.81074,-3.5138,5.43414,6.87227,-5.00188,5.58631,7.42037,-5.05219,7.80376,5.92393,-4.77944,6.28778,7.1852,-4.91695,6.28634,7.31975
22,-2.64569,6.85717,8.59464,-3.88107,5.92897,7.09203,-4.97425,5.16384,9.01018,-4.98081,4.49721,6.96113,-5.93701,4.9861,7.21397,-5.03712,3.406,8.30291,-3.92679,4.79012,8.09958,-5.10736,3.92939,6.51113,-5.80493,3.21664,6.92714,-5.45793,4.7006,6.40185,-4.98681,5.39197,6.25609,-4.11075,7.60196,4.45287,-4.73404,4.45152,8.3161,-4.39882,5.50917,6.3765,-4.52224,5.73097,6.55047,-5.19946,7.69724,7.08844,-5.51949,4.92104,6.97354,-4.89171,3.24291,6.87351,-4.46424,6.35094,6.35947,-5.73204,5.18828,7.57854,-4.85223,4.99457,5.76222,-4.96393,5.21269,6.79026,-5.4778,6.56259,5.79116,-4.03362,8.25071,5.94346,-4.43919,7.34903,7.48639,-3.60866,7.57457,6.3629,-4.10417,8.0724,5.65101,-5.12954,5.51829,5.89573,-4.93128,4.1196,7.54976,-3.95842,7.05795,6.44061,-4.27549,3.15061,7.9814,-3.68745,5.37795,7.01044,-5.17514,5.42302,7.59255,-5.15436,7.66402,6.02525,-4.95212,6.22989,7.34782,-5.07704,6.30453,7.51248
23,-2.86805,6.69765,8.69036,-4.02975,5.75237,7.13681,-5.19215,4.90723,9.13179,-5.1314,4.28243,7.10747,-6.08265,4.75502,7.31905,-5.27976,3.17397,8.41942,-4.06393,4.58109,8.18364,-5.23369,3.75608,6.57522,-5.98125,2.87338,7.06002,-5.58292,4.49988,6.49562,-5.14346,5.16992,6.44436,-4.16179,7.59645,4.64036,-4.91276,4.19059,8.42042,-4.54406,5.43552,6.54349,-4.68146,5.58744,6.67958,-5.30644,7.6243,7.25323,-5.63738,4.65228,7.07003,-5.01851,3.08122,6.98408,-4.59841,6.15433,6.44996,-5.87828,5.13577,7.73817,-4.98969,4.73981,5.89538,-5.11236,5.101,6.91074,-5.58503,6.44967,5.93798,-4.121,8.11278,6.07538,-4.55424,7.28505,7.67351,-3.7173,7.56695,6.54661,-4.19406,7.91883,5.72285,-5.23445,5.3931,5.97788,-5.09123,3.93835,7.63379,-4.04338,6.96761,6.55771,-4.38522,3.07122,8.11777,-3.85427,5.30859,7.1343,-5.33694,5.23431,7.73795,-5.24597,7.46812,6.09697,-5.10273,6.13637,7.48638,-5.23077,6.29054,7.67658
24,-3.10687,6.5337,8.77414,-4.19414,5.53907,7.17637,-5.41139,4.64301,9.24465,-5.3019,4.06289,7.26086,-6.22367,4.51006,7.42037,-5.5116,2.9522,8.52684,-4.20501,4.36422,8.25576,-5.35772,3.57623,6.62827,-6.17841,2.53032,7.20039,-5.70569,4.26358,6.57262,-5.3144,4.95248,6.63497,-4.21374,7.56764,4.82182,-5.07628,3.92607,8.4916,-4.68076,5.33639,6.69287,-4.8589,5.42959,6.81091,-5.41831,7.51703,7.40503,-5.7497,4.35484,7.15008,-5.14608,2.91689,7.07327,-4.72787,5.93739,6.5172,-6.01312,5.06275,7.87275,-5.13686,4.48396,6.03436,-5.25946,4.96059,7.0176,-5.68883,6.31977,6.07733,-4.20478,7.95535,6.20181,-4.65512,7.19832,7.83458,-3.8277,7.54071,6.71652,-4.29198,7.72622,5.7972,-5.35008,5.24365,6.0504,-5.24431,3.73418,7.70185,-4.13106,6.83667,6.65566,-4.48328,2.97926,8.2258,-4.01913,5.2344,7.24767,-5.49031,5.03292,7.86199,-5.33513,7.2335,6.15046,-5.23158,6.01444,7.60325,-5.37612,6.25055,7.81158
25,-3.36082,6.37521,8.85245,-4.37797,5.30257,7.22314,-5.63209,4.38017,9.35322,-5.49309,3.84619,7.4253,-6.36317,4.25803,7.52688,-5.73067,2.74746,8.63026,-4.35748,4.15602,8.32885,-5.48642,3.39748,6.68284,-6.39969,2.20106,7.35352,-5.83238,4.0065,6.64523,-5.50076,4.74798,6.8312,-4.27164,7.5201,5.00064,-5.23091,3.66612,8.54265,-4.81496,5.2226,6.83068,-5.05994,5.27085,6.95114,-5.54315,7.38763,7.55803,-5.86325,4.0445,7.22681,-5.28405,2.76478,7.15438,-4.86002,5.7161,6.57587,-6.13998,4.97306,7.99312,-5.30106,4.24035,6.18346,-5.41038,4.80126,7.12204,-5.79669,6.18301,6.22162,-4.29179,7.79006,6.33162,-4.74529,7.09486,7.97666,-3.94305,7.50471,6.87925,-4.40481,7.5137,5.88725,-5.48192,5.0802,6.12457,-5.39809,3.52111,7.76847,-4.22686,6.67882,6.74446,-4.57505,2.87929,8.3159,-4.18801,5.16242,7.35647,-5.64037,4.83133,7.97301,-5.43,6.97968,6.19986,-5.34319,5.87332,7.70474,-5.51284,6.19274,7.92209
26,-3.62671,6.22994,8.93126,-4.58212,5.05758,7.28836,-5.85404,4.12705,9.46224,-5.70227,3.63878,7.60288,-6.50222,4.0057,7.64594,-5.93445,2.56493,8.73468,-4.52637,3.96969,8.41342,-5.62582,3.22516,6.75072,-6.64348,1.8953,7.52235,-5.9679,3.74333,6.72641,-5.70059,4.56362,7.03535,-4.33948,7.45969,5.18083,-5.38371,3.4179,8.58843,-4.95274,5.10594,6.96484,-5.28673,5.12204,7.10508,-5.68531,7.24874,7.72386,-5.98408,3.73626,7.3126,-5.44078,2.63674,7.24034,-5.00215,5.50501,6.64089,-6.26316,4.87084,8.11187,-5.4878,4.01915,6.34522,-5.56887,4.6333,7.23539,-5.91443,6.04799,6.38153,-4.38845,7.62838,6.47293,-4.83073,6.98067,8.10999,-4.06789,7.46662,7.04329,-4.53528,7.2999,6.00168,-5.6325,4.91315,6.21082,-5.55807,3.3128,7.84674,-4.33666,6.50939,6.83623,-4.66706,2.7768,8.40112,-4.36564,5.09771,7.4673,-5.79271,4.64042,8.0804,-5.53683,6.72534,6.25891,-5.44474,5.723,7.79958,-5.64192,6.12616,8.01686
27,-3.89976,6.10216,9.01527,-4.80447,4.81792,7.38021,-6.07584,3.8908,9.57571,-5.92348,3.44572,7.79351,-6.63928,3.75964,7.78199,-6.11955,2.40816,8.8443,-4.71301,3.8143,8.51609,-5.77981,3.06202,6.84075,-6.90302,1.61906,7.70749,-6.1146,3.48771,6.82712,-5.90846,4.40508,7.24843,-4.4194,7.39299,5.36604,-5.54026,3.18761,8.64264,-5.09835,4.99726,7.10311,-5.53713,4.99053,7.27544,-5.84417,7.11202,7.90977,-6.11589,3.44278,7.41664,-5.62085,2.54019,7.34153,-5.1593,5.31539,6.72436,-6.38612,4.7602,8.24075,-5.69911,3.82648,6.52,-5.73528,4.46784,7.36669,-6.04403,5.92095,6.56354,-4.49901,7.47967,6.6315,-4.91755,6.86132,8.2449,-4.20601,7.43234,7.21675,-4.68111,7.1007,6.14362,-5.80048,4.75152,6.31651,-5.72595,3.12136,7.94615,-4.46513,6.3436,6.94288,-4.76527,2.67812,8.4944,-4.55397,5.04341,7.58676,-5.95188,4.46855,8.19293,-5.65822,6.48671,6.33839,-5.54398,5.57315,7.89708,-5.76499,6.05949,8.10709
28,-4.17348,5.99221,9.10748,-5.03975,4.59509,7.50247,-6.29454,3.67707,9.69667,-6.14764,3.27074,7.99507,-6.77009,3.5259,7.93658,-6.28169,2.27914,8.96203,-4.9145,3.69484,8.63896,-5.94891,2.90858,6.95747,-7.16681,1.37549,7.9071,-6.27127,3.25152,6.95465,-6.11588,4.27685,7.47008,-4.51091,7.32675,5.55882,-5.70318,2.98034,8.71551,-5.25322,4.90487,7.25151,-5.80452,4.88018,7.4629,-6.0143,6.98704,8.1179,-6.25891,3.17398,7.54383,-5.82373,2.47723,7.46446,-5.33299,5.154,6.83348,-6.50988,4.64493,8.38872,-5.93203,3.66467,6.70601,-5.90558,4.31658,7.52085,-6.18274,5.80555,6.76866,-4.62443,7.3498,6.8096,-5.00984,6.74173,8.38945,-4.359,7.40619,7.40534,-4.83502,6.92753,6.31084,-5.9809,4.60179,6.44456,-5.89913,2.95656,8.07141,-4.61446,6.19476,7.07375,-4.87393,2.58998,8.60633,-4.75124,5.00074,7.72038,-6.12001,4.32129,8.31743,-5.79244,6.27597,6.44448,-5.64735,5.43225,8.00543,-5.88361,5.9996,8.20425
29,-4.43955,5.89749,9.20897,-5.27993,4.39731,7.65401,-6.50533,3.48984,9.82656,-6.36354,3.11626,8.20353,-6.88813,3.31016,8.10834,-6.41588,2.17859,9.08937,-5.12413,3.61261,8.77998,-6.12958,2.76401,7.10068,-7.42019,1.16568,8.11742,-6.43259,3.04447,7.11141,-6.31211,4.18217,7.6984,-4.61104,7.26707,5.75993,-5.8713,2.79986,8.81217,-5.41561,4.83332,7.41371,-6.07875,4.79164,7.66633,-6.18664,6.88045,8.34579,-6.4095,2.93645,7.69475,-6.04351,2.44476,7.61162,-5.52053,5.02291,6.96988,-6.6324,4.52869,8.56055,-6.17824,3.53323,6.89943,-6.07205,4.19069,7.69779,-6.32331,5.70293,6.9929,-4.76215,7.24074,7.00607,-5.10796,6.62597,8.54769,-4.52501,7.39054,7.61119,-4.98623,6.78657,6.49733,-6.16602,4.46727,6.59348,-6.0712,2.82491,8.22259,-4.78342,6.07332,7.23413,-4.99455,2.51882,8.74302,-4.95206,4.96936,7.87185,-6.29589,4.20149,8.458,-5.93365,6.10059,6.57832,-5.75827,5.30697,8.13021,-5.99902,5.95054,8.31822
30,-4.68821,5.81385,9.31871,-5.51453,4.22988,7.8292,-6.70177,3.33163,9.96503,-6.55903,2.98374,8.41369,-6.9854,3.11758,8.29352,-6.51688,2.10613,9.22617,-5.33226,3.56591,8.93363,-6.31394,2.62738,7.26588,-7.64675,0.98935,8.33319,-6.58955,2.87365,7.29493,-6.48564,4.12342,7.93032,-4.71426,7.21911,5.96836,-6.03991,2.64855,8.93243,-5.581,4.78349,7.59104,-6.34725,4.72326,7.8828,-6.35002,6.79554,8.58752,-6.56063,2.73368,7.86627,-6.26976,2.43548,7.78192,-5.71522,4.92023,7.13001,-6.74862,4.41505,8.75635,-6.42482,3.43014,7.09528,-6.22502,4.09883,7.89256,-6.45562,5.61244,7.22876,-4.90612,7.15128,7.21703,-5.20808,6.51705,8.7191,-4.69884,7.38587,7.83278,-5.12272,6.67908,6.69509,-6.34685,4.34816,6.75836,-6.23328,2.72973,8.39594,-4.96708,5.98578,7.42421,-5.12564,2.46996,8.90548,-5.14815,4.9479,8.04209,-6.47474,4.10974,8.61596,-6.07289,5.96363,6.73684,-5.87636,5.20189,8.27372,-6.11168,5.91342,8.45547
31,-4.90881,5.73715,9.43418,-5.7319,4.09512,8.01945,-6.87611,3.20353,10.11019,-6.72224,2.87379,8.61945,-7.05369,2.95254,8.48696,-6.57996,2.06078,9.37079,-5.52755,3.55066,9.09232,-6.49056,2.4984,7.44535,-7.83068,0.84545,8.54891,-6.73071,2.74302,7.49891,-6.62542,4.10207,8.16176,-4.81349,7.1867,6.1812,-6.20164,2.52737,9.07176,-5.74274,4.7531,7.78244,-6.59662,4.67187,8.10779,-6.4926,6.73298,8.83523,-6.70287,2.5663,8.05309,-6.48916,2.43945,7.97181,-5.90741,4.84111,7.30682,-6.85137,4.30765,8.97182,-6.65601,3.35284,7.28822,-6.35485,4.04549,8.09667,-6.56852,5.53271,7.46751,-5.04767,7.0783,7.4369,-5.30333,6.41659,8.89952,-4.87259,7.39065,8.06516,-5.23333,6.60259,6.8958,-6.51405,4.24252,6.93235,-6.37585,2.67137,8.58515,-5.15739,5.93469,7.63947,-5.26257,2.44674,9.08972,-5.32944,4.93443,8.2292,-6.64823,4.04498,8.79014,-6.19965,5.86401,6.91395,-5.99748,5.11938,8.43467,-6.22079,5.88732,8.61836
32,-5.09106,5.66437,9.55201,-5.92058,3.99334,8.21485,-7.02008,3.1055,10.25857,-6.843,2.78642,8.81444,-7.08555,2.81876,8.6827,-6.60143,2.04092,9.52012,-5.69801,3.56124,9.24759,-6.64617,2.37746,7.63007,-7.95861,0.73251,8.75982,-6.84405,2.65341,7.71497,-6.72233,4.11888,8.38796,-4.90085,7.17207,6.39415,-6.34787,2.43609,9.22245,-5.8929,4.73785,7.98487,-6.81394,4.6338,8.33605,-6.6032,6.69122,9.0808,-6.82553,2.43293,8.24907,-6.68702,2.44648,8.1762,-6.08601,4.77936,7.49158,-6.93263,4.21029,9.19933,-6.85578,3.29892,7.47369,-6.45355,4.03051,8.29985,-6.65153,5.46268,7.70115,-5.17646,7.01845,7.65936,-5.38549,6.32428,9.08256,-5.03676,7.40177,8.30109,-5.30938,6.55266,7.09205,-6.6585,4.14762,7.10813,-6.48992,2.64799,8.78273,-5.34405,5.91856,7.87179,-5.398,2.45005,9.28832,-5.48554,4.92698,8.42867,-6.80506,4.00503,8.97754,-6.30316,5.79772,7.10244,-6.11447,5.05961,8.60874,-6.32367,5.87013,8.80521
33,-5.22627,5.59425,9.6684,-6.07061,3.9231,8.40604,-7.12569,3.03663,10.40582,-6.91364,2.72108,8.99251,-7.07546,2.7188,8.87479,-6.57931,2.04454,9.66983,-5.83224,3.59135,9.39141,-6.76805,2.26541,7.81163,-8.02108,0.64889,8.96252,-6.91895,2.60271,7.93451,-6.77017,4.17382,8.60392,-4.96866,7.17577,6.60186,-6.46995,2.37366,9.37535,-6.02322,4.73269,8.19364,-6.9881,4.60551,8.56234,-6.67201,6.66811,9.317,-6.91799,2.33091,8.44855,-6.84882,2.44838,8.38976,-6.23958,4.72866,7.67598,-6.98475,4.12677,9.42942,-7.00984,3.26662,7.64865,-6.51551,4.04979,8.49193,-6.69622,5.40232,7.92348,-5.28193,6.96912,7.87841,-5.44678,6.23822,9.26143,-5.18139,7.41542,8.53181,-5.34527,6.52454,7.27816,-6.77165,4.0612,7.27897,-6.5682,2.65674,8.98117,-5.51568,5.93267,8.11121,-5.52294,2.47826,9.49224,-5.60711,4.92388,8.63427,-6.93226,3.98717,9.17375,-6.37354,5.75916,7.29528,-6.21831,5.02087,8.78935,-6.41579,5.8596,9.01129
34,-5.3086,5.52734,9.77944,-6.17423,3.88205,8.58495,-7.18621,2.99523,10.54697,-6.93007,2.67666,9.14808,-7.02048,2.65383,9.05791,-6.51366,2.06911,9.81467,-5.92053,3.63463,9.51693,-6.8463,2.16306,7.98389,-8.01371,0.59293,9.15489,-6.94755,2.587,8.15003,-6.76634,4.26591,8.80481,-5.01058,7.19669,6.79851,-6.56015,2.33843,9.52121,-6.12559,4.73285,8.4031,-7.11068,4.58423,8.78247,-6.69138,6.66132,9.53824,-6.97069,2.25761,8.64672,-6.96145,2.44056,8.60752,-6.35747,4.68356,7.85353,-7.00156,4.06068,9.65237,-7.10745,3.2551,7.81172,-6.53776,4.09697,8.66441,-6.69691,5.3528,8.13063,-5.35459,6.92874,8.08855,-5.48097,6.15523,9.42995,-5.29692,7.42782,8.74819,-5.33857,6.51445,7.45041,-6.84563,3.98244,7.43969,-6.60553,2.69447,9.17387,-5.66049,5.97042,8.34787,-5.62765,2.52758,9.6927,-5.68706,4.92392,8.83922,-7.01715,3.98824,9.37336,-6.40287,5.74202,7.48667,-6.29953,5.00015,8.9688,-6.49089,5.85404,9.22992
35,-5.33579,5.46533,9.88119,-6.22644,3.86745,8.74507,-7.19688,2.97893,10.67695,-6.89196,2.65121,9.27661,-6.92082,2.62334,9.22764,-6.40698,2.11145,9.94882,-5.95584,3.6855,9.61902,-6.87502,2.07118,8.14332,-7.93729,0.5629,9.33537,-6.92564,2.60143,8.35584,-6.71214,4.39314,8.98648,-5.0222,7.23218,6.97829,-6.61227,2.32823,9.65182,-6.19291,4.7347,8.60709,-7.17647,4.56839,8.99362,-6.65638,6.66932,9.74087,-6.97613,2.2108,8.83994,-7.0144,2.4229,8.82539,-6.43047,4.64031,8.02041,-6.97921,4.01501,9.85952,-7.14225,3.26461,7.96282,-6.51993,4.165,8.81126,-6.65171,5.31611,8.32094,-5.38726,6.89687,8.28522,-5.48386,6.07207,9.58338,-5.37506,7.43601,8.94155,-5.28989,6.52002,7.6068,-6.87435,3.91196,7.58693,-6.59913,2.75841,9.35565,-5.76752,6.02433,8.57363,-5.70301,2.59293,9.88237,-5.72134,4.92639,9.03717,-7.04955,4.00496,9.57054,-6.38574,5.74064,7.67244,-6.34936,4.99374,9.13948,-6.54189,5.85235,9.45397
36,-5.30967,5.41019,9.9696,-6.22512,3.87624,8.88119,-7.15574,2.98466,10.79103,-6.80297,2.64181,9.37489,-6.77996,2.62464,9.38096,-6.26415,2.16755,10.06652,-5.93499,3.73937,9.69419,-6.85294,1.99052,8.2885,-7.79779,0.55693,9.50218,-6.85275,2.64148,8.54769,-6.61273,4.55211,9.14582,-5.00173,7.27807,7.13602,-6.62229,2.3405,9.76095,-6.21955,4.73614,8.79954,-7.1839,4.55774,9.1941,-6.56572,6.6911,9.92275,-6.92975,2.18946,9.02522,-7.00077,2.39933,9.03979,-6.45166,4.5975,8.17534,-6.9166,3.99173,10.04425,-7.11285,3.29633,8.10241,-6.4639,4.24734,8.92921,-6.5623,5.29426,8.49455,-5.37644,6.87343,8.46453,-5.45359,5.98586,9.71841,-5.40961,7.43816,9.10446,-5.20289,6.54004,7.74656,-6.85467,3.85117,7.71947,-6.54888,2.84609,9.52287,-5.8277,6.0877,8.78282,-5.74169,2.66871,10.0557,-5.70966,4.93131,9.22318,-7.02381,4.03427,9.75967,-6.32025,5.75037,7.84997,-6.36118,4.99798,9.29478,-6.56174,5.8543,9.67662
37,-5.23611,5.36301,10.04086,-6.1716,3.90511,8.98919,-7.06372,3.00855,10.88526,-6.67043,2.64438,9.44147,-6.60454,2.65305,9.51622,-6.09223,2.23249,10.16254,-5.85904,3.7928,9.74051,-6.78297,1.92181,8.41911,-7.60548,0.57256,9.65275,-6.7323,2.70302,8.72254,-6.47664,4.73802,9.28133,-4.95019,7.32891,7.26757,-6.58896,2.3721,9.84464,-6.20207,4.73641,8.97479,-7.1349,4.55332,9.38291,-6.4224,6.72633,10.08275,-6.83086,2.19331,9.19975,-6.91825,2.37677,9.247,-6.41747,4.55569,8.31862,-6.81578,3.99117,10.20202,-7.02313,3.35155,8.23066,-6.3737,4.33833,9.01755,-6.43411,5.28857,8.653,-5.32289,6.8584,8.62323,-5.39064,5.89477,9.83304,-5.39732,7.4339,9.23146,-5.08429,6.57376,7.86968,-6.7878,3.80124,7.83787,-6.45719,2.95522,9.67328,-5.83487,6.15507,8.97257,-5.73915,2.74939,10.20897,-5.65566,4.9391,9.39403,-6.93954,4.07365,9.93575,-6.20821,5.76791,8.01786,-6.33112,5.00976,9.43007,-6.54489,5.86029,9.89185
