Gait cycle [%],Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt,Right Pelvic Obliquity,Pelvic Rotation,Pelvic Tilt
80,-3.41442,2.69183,8.83459,-3.68585,4.20529,7.8776,-4.67512,2.30938,7.88776,-3.51783,2.25487,7.4626,-4.13464,2.67189,6.81341,-3.40392,1.11933,6.92823,-3.83468,0.89277,5.84622,-3.71352,2.08239,6.98573,-4.04939,1.14444,7.21778,-4.11075,2.47239,6.74138,-3.25894,5.78109,6.19694,-3.52113,5.14011,5.10126,-3.92744,1.68982,6.35925,-4.07707,1.29733,6.77292,-4.36886,4.76312,6.2383,-3.79609,6.66803,6.85727,-3.68123,2.32087,7.16524,-3.64645,2.79622,6.9842,-3.27702,2.09319,7.25476,-4.12382,4.11832,6.33304,-3.34255,2.98291,6.84179,-4.62669,2.89026,5.02153,-3.60247,3.85306,6.71346,-4.34424,2.97922,6.18026,-3.40345,2.17813,6.9373,-3.40897,5.18092,5.86795,-3.31769,3.41318,6.5273,-3.78694,1.1313,5.51637,-4.35207,3.07483,7.35868,-4.61236,4.16519,7.37936,-2.66921,0.76643,6.75755,-3.60248,3.03873,7.83257,-4.2744,3.01283,7.02497,-4.2097,2.84241,7.64237,-4.49204,1.8126,7.52482,-4.67685,2.30022,7.96629
81,-3.3502,2.72544,8.85507,-3.58427,4.31854,7.89973,-4.51595,2.26384,7.83449,-3.47674,2.28499,7.46174,-3.9834,2.79246,6.80157,-3.29123,1.16747,6.96671,-3.71861,0.92017,5.85622,-3.57567,2.16976,7.00504,-3.92814,1.22019,7.21377,-3.95567,2.52283,6.7471,-3.13381,5.86813,6.16331,-3.43564,5.08874,5.13477,-3.76277,1.93034,6.35261,-3.90402,1.29852,6.76122,-4.25858,4.7553,6.19753,-3.65073,6.72145,6.84483,-3.51101,2.3841,7.13424,-3.49734,2.9069,6.97806,-3.11246,2.12937,7.29572,-3.97413,4.18555,6.31557,-3.20817,3.01065,6.83037,-4.52241,2.9028,5.01584,-3.44938,3.99363,6.68079,-4.22101,3.061,6.17453,-3.32988,2.19266,6.97359,-3.3444,5.19129,5.89283,-3.24676,3.38703,6.52143,-3.65327,1.15266,5.52027,-4.1633,3.14731,7.30416,-4.42494,4.1485,7.32384,-2.5317,0.88967,6.78243,-3.46307,3.05583,7.80344,-4.1449,3.09293,6.9737,-4.03011,2.89931,7.59039,-4.33319,1.85792,7.46958,-4.5137,2.27182,7.93945
82,-3.32787,2.7606,8.89104,-3.51743,4.44178,7.94017,-4.38813,2.22183,7.80382,-3.46659,2.30194,7.4651,-3.86798,2.9011,6.81887,-3.20812,1.22202,7.02594,-3.65065,0.93129,5.88897,-3.48775,2.24587,7.04634,-3.84446,1.29594,7.24545,-3.82947,2.56478,6.77628,-3.04189,5.94909,6.14664,-3.35847,5.03026,5.18233,-3.61959,2.16756,6.37285,-3.75697,1.29971,6.78198,-4.19325,4.73464,6.19203,-3.53849,6.7804,6.85268,-3.37123,2.43189,7.12864,-3.38042,3.01661,7.00596,-2.9985,2.1632,7.36706,-3.84209,4.24746,6.31748,-3.11372,3.03692,6.84763,-4.45238,2.91229,5.03103,-3.33948,4.14665,6.67282,-4.11832,3.1422,6.18953,-3.29203,2.208,7.03636,-3.30575,5.19353,5.93688,-3.21678,3.35838,6.53078,-3.5479,1.18676,5.55144,-4.01418,3.22329,7.29143,-4.26625,4.12621,7.29142,-2.43046,1.00703,6.83142,-3.3633,3.08026,7.80383,-4.059,3.15615,6.95153,-3.86559,2.9539,7.55506,-4.19218,1.89274,7.43111,-4.35842,2.23119,7.92265
83,-3.34158,2.796,8.93603,-3.48272,4.57223,7.99429,-4.29566,2.18602,7.79591,-3.48704,2.31036,7.46919,-3.79153,3.00066,6.86514,-3.15605,1.28314,7.10362,-3.63066,0.92668,5.9437,-3.45323,2.30642,7.10837,-3.7999,1.37162,7.30964,-3.73598,2.59729,6.82546,-2.98436,6.02058,6.1425,-3.29095,4.96747,5.2397,-3.5037,2.3952,6.41728,-3.64255,1.30061,6.83485,-4.17087,4.70326,6.22095,-3.46175,6.84418,6.87904,-3.26698,2.46353,7.14771,-3.29856,3.12584,7.06512,-2.93484,2.195,7.46223,-3.7334,4.30281,6.33932,-3.06061,3.06071,6.89205,-4.41769,2.91956,5.06637,-3.27528,4.3064,6.68872,-4.03832,3.21896,6.22273,-3.28725,2.22374,7.12035,-3.29247,5.1845,5.99415,-3.22238,3.32962,6.55017,-3.47114,1.23565,5.60791,-3.90849,3.30087,7.31984,-4.14306,4.10301,7.28403,-2.36789,1.11266,6.90085,-3.30481,3.11238,7.83206,-4.01443,3.20384,6.9623,-3.72328,3.00764,7.53821,-4.07262,1.91876,7.41113,-4.21951,2.18156,7.91941
84,-3.38338,2.83184,8.98247,-3.47513,4.70748,8.056,-4.24037,2.15877,7.80821,-3.53668,2.31544,7.47,-3.75488,3.09495,6.93756,-3.13455,1.35062,7.19599,-3.65525,0.90831,6.01779,-3.4711,2.34833,7.18806,-3.79299,1.44805,7.39982,-3.67654,2.61941,6.88968,-2.96038,6.08019,6.14465,-3.23449,4.90344,5.30128,-3.41851,2.6073,6.48136,-3.56505,1.30069,6.91724,-4.18677,4.66362,6.28018,-3.41976,6.91131,6.92046,-3.20102,2.47901,7.18916,-3.25235,3.23488,7.15044,-2.91731,2.22556,7.57255,-3.65239,4.35066,6.38112,-3.04668,3.08076,6.95803,-4.41689,2.92506,5.11959,-3.25451,4.46672,6.72464,-3.98117,3.28889,6.26925,-3.31027,2.2406,7.21777,-3.30272,5.16173,6.0572,-3.25778,3.30316,6.57275,-3.42119,1.2999,5.68478,-3.84636,3.37717,7.38539,-4.05878,4.08333,7.30141,-2.34257,1.20222,6.98484,-3.28493,3.15209,7.88381,-4.00612,3.23786,7.0068,-3.60745,3.06031,7.54035,-3.97711,1.93767,7.41071,-4.10388,2.12609,7.93263
85,-3.44424,2.86988,9.02298,-3.48833,4.84631,8.11889,-4.22171,2.14219,7.83573,-3.61268,2.32288,7.46337,-3.75632,3.18839,7.03085,-3.14135,1.42402,7.29788,-3.71864,0.87968,6.10668,-3.53562,2.37086,7.27971,-3.82011,1.52713,7.50652,-3.6504,2.63056,6.96238,-2.96705,6.1272,6.14596,-3.19062,4.84115,5.36058,-3.36492,2.79914,6.55895,-3.52594,1.30004,7.0243,-4.23412,4.6184,6.36232,-3.40904,6.98014,6.9719,-3.17391,2.47918,7.24897,-3.2404,3.3442,7.25481,-2.93953,2.25582,7.68769,-3.60135,4.39131,6.44161,-3.06662,3.09615,7.0362,-4.4464,2.9295,5.18674,-3.2708,4.62228,6.77383,-3.94532,3.35155,6.32282,-3.3542,2.2607,7.31913,-3.33392,5.12403,6.11813,-3.31787,3.28139,6.59055,-3.39488,1.37895,5.77423,-3.82472,3.44904,7.48106,-4.01345,4.07065,7.34074,-2.35025,1.27363,7.07582,-3.29745,3.19893,7.95247,-4.02743,3.26019,7.08192,-3.51941,3.11056,7.56042,-3.9067,1.95105,7.42977,-4.01568,2.06858,7.96416
86,-3.51547,2.91327,9.05116,-3.51629,4.98868,8.17713,-4.23652,2.13828,7.87136,-3.71119,2.33853,7.44574,-3.79162,3.28564,7.13758,-3.17283,1.50299,7.40311,-3.81327,0.84577,6.20409,-3.6364,2.37648,7.37459,-3.87616,1.61176,7.6179,-3.65536,2.63128,7.03538,-2.99977,6.16279,6.13906,-3.16074,4.78365,5.41091,-3.3418,2.9678,6.6425,-3.52377,1.29976,7.14907,-4.30485,4.57061,6.45701,-3.42432,7.0494,7.02728,-3.18439,2.46596,7.3211,-3.26001,3.4545,7.36928,-2.99426,2.28705,7.7965,-3.58028,4.42659,6.51791,-3.11315,3.10709,7.11475,-4.50076,2.93453,5.26252,-3.31534,4.76955,6.82746,-3.92823,3.40812,6.37611,-3.41164,2.28698,7.41427,-3.38353,5.07195,6.16959,-3.39872,3.2668,6.59565,-3.38839,1.47135,5.86637,-3.83825,3.51395,7.59728,-4.00421,4.06799,7.3966,-2.3855,1.32704,7.16568,-3.33381,3.25309,8.02969,-4.07129,3.27303,7.1802,-3.4581,3.15682,7.59578,-3.86105,1.96044,7.46696,-3.95604,2.01324,8.0141
87,-3.58943,2.96567,9.06239,-3.55438,5.13565,8.22649,-4.27953,2.1489,7.9066,-3.82748,2.36814,7.4146,-3.85452,3.39142,7.249,-3.22454,1.58725,7.50493,-3.93056,0.81253,6.30264,-3.75945,2.37129,7.46156,-3.95534,1.7054,7.72062,-3.68845,2.62318,7.09956,-3.05281,6.18987,6.11735,-3.14639,4.73385,5.44576,-3.34685,3.11241,6.72347,-3.55421,1.30228,7.2827,-4.39055,4.52348,6.55155,-3.4597,7.11861,7.07979,-3.22969,2.44255,7.39764,-3.3077,3.56658,7.48398,-3.07451,2.32053,7.88805,-3.58708,4.45961,6.60519,-3.1784,3.11525,7.18132,-4.57336,2.9429,5.34082,-3.37876,4.90728,6.87598,-3.92702,3.46106,6.42184,-3.47587,2.32281,7.49368,-3.44948,5.00791,6.20554,-3.49745,3.26239,6.58145,-3.39805,1.57518,5.95062,-3.8804,3.57063,7.72264,-4.02617,4.07749,7.46114,-2.44326,1.3647,7.24694,-3.38489,3.31554,8.10631,-4.1314,3.27882,7.29023,-3.4213,3.19793,7.64237,-3.83879,1.96761,7.5191,-3.92384,1.96518,8.08041
88,-3.66027,3.03066,9.05403,-3.60013,5.28867,8.26474,-4.34388,2.17579,7.93253,-3.95626,2.41705,7.36882,-3.9373,3.50983,7.35604,-3.29149,1.67674,7.5964,-4.06152,0.78645,6.3949,-3.88937,2.36409,7.52886,-4.05153,1.81159,7.80118,-3.74629,2.60902,7.14573,-3.11982,6.2129,6.07609,-3.14888,4.69424,5.45985,-3.37732,3.23344,6.79323,-3.6107,1.31083,7.41497,-4.48322,4.48039,6.63221,-3.50962,7.18813,7.12268,-3.30591,2.41355,7.46922,-3.37954,3.68083,7.5887,-3.17398,2.35785,7.95278,-3.61778,4.49399,6.69711,-3.25509,3.12355,7.22495,-4.65738,2.95838,5.4154,-3.45244,5.03631,6.91048,-3.93926,3.51323,6.4536,-3.5418,2.37081,7.54993,-3.53029,4.93588,6.22238,-3.61146,3.27156,6.54409,-3.42075,1.68856,6.01758,-3.94416,3.61954,7.84447,-4.07343,4.10062,7.52485,-2.51952,1.39026,7.31392,-3.44285,3.38782,8.17346,-4.20254,3.28066,7.39774,-3.4068,3.23373,7.69498,-3.83801,1.97459,7.58124,-3.9168,1.92966,8.15823
89,-3.72392,3.11107,9.0255,-3.65277,5.44906,8.29134,-4.42187,2.22041,7.94078,-4.09212,2.48985,7.3089,-4.03174,3.64423,7.45023,-3.3687,1.77162,7.6714,-4.19729,0.77385,6.47439,-4.01243,2.36516,7.56711,-4.15867,1.93329,7.84774,-3.82528,2.59269,7.16584,-3.19435,6.23719,6.01302,-3.16932,4.66709,5.44934,-3.43054,3.33227,6.84399,-3.68512,1.32911,7.53532,-4.57578,4.44483,6.68586,-3.56962,7.2591,7.15011,-3.40819,2.38505,7.52601,-3.47119,3.79719,7.67416,-3.28711,2.40042,7.98404,-3.66741,4.53298,6.78625,-3.33725,3.13611,7.238,-4.74622,2.98533,5.48071,-3.52921,5.15927,6.92428,-3.96325,3.56765,6.46672,-3.60622,2.43283,7.57854,-3.62487,4.86092,6.21923,-3.7377,3.29783,6.48365,-3.4537,1.80981,6.06054,-4.02221,3.66315,7.94977,-4.13996,4.13803,7.57739,-2.61073,1.4087,7.36309,-3.50237,3.47158,8.22409,-4.28082,3.2823,7.48768,-3.41299,3.26538,7.74796,-3.85671,1.98388,7.64673,-3.93253,1.91192,8.24029
90,-3.7778,3.20832,8.97783,-3.71242,5.61759,8.30689,-4.50577,2.28383,7.92478,-4.22985,2.58996,7.23679,-4.12986,3.79674,7.52496,-3.45136,1.8724,7.72495,-4.32972,0.78012,6.53679,-4.11901,2.38443,7.57175,-4.27066,2.07251,7.85175,-3.92126,2.57861,7.15428,-3.27048,6.26829,5.92874,-3.20828,4.6542,5.4126,-3.50376,3.41062,6.87026,-3.76875,1.36068,7.6339,-4.66232,4.42043,6.70208,-3.63644,7.33318,7.15795,-3.53069,2.36443,7.55896,-3.5778,3.91476,7.73319,-3.40864,2.44984,7.97875,-3.73028,4.57884,6.86529,-3.42053,3.1575,7.21744,-4.83431,3.02812,5.53253,-3.60358,5.27962,6.91388,-3.99801,3.62682,6.45882,-3.66749,2.50939,7.57861,-3.73189,4.78851,6.19783,-3.87168,3.34446,6.40471,-3.49416,1.93752,6.07693,-4.107,3.70569,8.02645,-4.22008,4.18954,7.60943,-2.71294,1.42587,7.39329,-3.56096,3.56815,8.2537,-4.36322,3.28824,7.54663,-3.43893,3.29543,7.79591,-3.8929,1.99865,7.70788,-3.96893,1.91673,8.31739
91,-3.82061,3.32242,8.91339,-3.77887,5.79429,8.31221,-4.58859,2.36651,7.88027,-4.36491,2.71965,7.15574,-4.2248,3.96828,7.57598,-3.53501,1.97977,7.75404,-4.45189,0.80946,6.58028,-4.20473,2.43027,7.54424,-4.3816,2.23016,7.80959,-4.02926,2.57173,7.10885,-3.34309,6.31123,5.82663,-3.26554,4.65712,5.35028,-3.59392,3.47061,6.86981,-3.85352,1.40837,7.70338,-4.73839,4.41071,6.67501,-3.70768,7.41219,7.14438,-3.66673,2.35979,7.5612,-3.69373,4.03204,7.76191,-3.53321,2.50798,7.93831,-3.80057,4.6327,6.92784,-3.50166,3.19233,7.16513,-4.91724,3.09056,5.56839,-3.67145,5.40125,6.87947,-4.04286,3.69259,6.4304,-3.72481,2.6002,7.55263,-3.84897,4.72439,6.16209,-4.00739,3.41375,6.31567,-3.53853,2.07118,6.06837,-4.19076,3.75266,8.06488,-4.30872,4.25424,7.61408,-2.82108,1.44813,7.40568,-3.61843,3.67813,8.2609,-4.44698,3.30337,7.56519,-3.48384,3.32768,7.83459,-3.94437,2.02257,7.75681,-4.02421,1.9481,8.37954
92,-3.85203,3.4519,8.83535,-3.85118,5.97849,8.30819,-4.66463,2.46816,7.80635,-4.4936,2.87961,7.06965,-4.31133,4.15862,7.60185,-3.61578,2.09479,7.7577,-4.55845,0.86454,6.60571,-4.26952,2.5086,7.49129,-4.48623,2.40604,7.72321,-4.14331,2.57725,7.0311,-3.40823,6.36989,5.71209,-3.33995,4.67677,5.26524,-3.69713,3.51497,6.84423,-3.93268,1.47411,7.73987,-4.80104,4.41914,6.60462,-3.78139,7.49809,7.11025,-3.80886,2.37959,7.52932,-3.81259,4.14729,7.76005,-3.65546,2.57643,7.86827,-3.87286,4.69468,6.96956,-3.57817,3.24494,7.08718,-4.99205,3.17538,5.58761,-3.7302,5.52735,6.82471,-4.09702,3.76618,6.38456,-3.77774,2.70434,7.50605,-3.97225,4.67379,6.11733,-4.13783,3.50653,6.22726,-3.58226,2.21076,6.04022,-4.26612,3.80976,8.05971,-4.4015,4.33036,7.58831,-2.92898,1.48154,7.40344,-3.67559,3.80138,8.24722,-4.52914,3.33248,7.53985,-3.54632,3.36691,7.86124,-4.00861,2.05969,7.78637,-4.09655,2.00903,8.41763
93,-3.87287,3.59413,8.74717,-3.92736,6.16898,8.29555,-4.72986,2.58761,7.7052,-4.61324,3.06922,6.98256,-4.38621,4.36649,7.60385,-3.69045,2.21875,7.73719,-4.64603,0.94665,6.61607,-4.31587,2.62281,7.42277,-4.58034,2.59895,7.60005,-4.25678,2.60021,6.92628,-3.46345,6.44643,5.59179,-3.42922,4.71371,5.16233,-3.80835,3.54728,6.79879,-4.00131,1.55868,7.74369,-4.84897,4.44876,6.4971,-3.85559,7.59255,7.05923,-3.94945,2.43149,7.46409,-3.92763,4.25901,7.73107,-3.7701,2.65711,7.77739,-3.94261,4.7643,6.98861,-3.64798,3.31878,6.9927,-5.05714,3.28413,5.59094,-3.77853,5.66056,6.75574,-4.15902,3.84825,6.32657,-3.82581,2.82066,7.44611,-4.09609,4.6416,6.0689,-4.25619,3.62176,6.15036,-3.62013,2.35663,6.00036,-4.32694,3.88195,8.01121,-4.49451,4.41558,7.53353,-3.03039,1.53158,7.39133,-3.73325,3.93726,8.21664,-4.60639,3.37967,7.47337,-3.6236,3.41816,7.87484,-4.08242,2.11389,7.79143,-4.18332,2.10174,8.42488
94,-3.88524,3.74573,8.65215,-4.00505,6.36421,8.27524,-4.78198,2.72259,7.58195,-4.72208,3.28619,6.89796,-4.44816,4.58974,7.58573,-3.75657,2.35284,7.69562,-4.71349,1.05582,6.61556,-4.34742,2.77376,7.34939,-4.6616,2.80659,7.45177,-4.36299,2.64529,6.80226,-3.50767,6.54093,5.47227,-3.52992,4.76808,5.04747,-3.92169,3.57197,6.74133,-4.05632,1.66185,7.71913,-4.88256,4.50205,6.36385,-3.92807,7.6969,6.99697,-4.08134,2.52185,7.37055,-4.03248,4.36637,7.68124,-3.87286,2.75145,7.67627,-4.00662,4.84092,6.9857,-3.70942,3.41645,6.89186,-5.11214,3.41707,5.58039,-3.81686,5.80233,6.6801,-4.22649,3.93897,6.26284,-3.86868,2.94841,7.38051,-4.21331,4.63193,6.02116,-4.35738,3.75642,6.09375,-3.64732,2.50928,5.95759,-4.36904,3.97248,7.92536,-4.58436,4.50711,7.4556,-3.12006,1.60283,7.37484,-3.79169,4.08479,8.17462,-4.67548,3.44819,7.37382,-3.71127,3.48619,7.87583,-4.16215,2.18857,7.76943,-4.28112,2.22719,8.39815
95,-3.89222,3.90303,8.55303,-4.08203,6.56262,8.24875,-4.82017,2.86983,7.44381,-4.81908,3.52677,6.81824,-4.49776,4.8254,7.55251,-3.81241,2.49814,7.63733,-4.76186,1.19106,6.60887,-4.36807,2.95966,7.28071,-4.72945,3.02562,7.2922,-4.45617,2.71638,6.66823,-3.54118,6.6514,5.35893,-3.63756,4.83942,4.92718,-4.03101,3.59435,6.68087,-4.09655,1.78237,7.67347,-4.90372,4.5804,6.21941,-3.99669,7.81175,6.93042,-4.19904,2.65451,7.25743,-4.12225,4.46944,7.61839,-3.9612,2.86064,7.57545,-4.0633,4.92409,6.96354,-3.76163,3.53944,6.79399,-5.1577,3.57342,5.55851,-3.84717,5.95344,6.60495,-4.29647,4.03803,6.19975,-3.90648,3.08716,7.3159,-4.31632,4.64814,5.9765,-4.43895,3.90566,6.06237,-3.6607,2.66891,5.92039,-4.39082,4.08253,7.81295,-4.66807,4.6021,7.36372,-3.19458,1.69915,7.35899,-3.8507,4.24274,8.12742,-4.73392,3.54014,7.25252,-3.80371,3.57471,7.86578,-4.24353,2.28615,7.721,-4.38539,2.38545,8.33874
96,-3.89723,4.0628,8.45137,-4.15673,6.76263,8.21794,-4.84475,3.02505,7.29882,-4.90337,3.78576,6.74429,-4.53682,5.06996,7.50986,-3.8569,2.65499,7.56729,-4.79389,1.35064,6.60012,-4.38187,3.17639,7.22393,-4.78498,3.25152,7.13482,-4.53223,2.816,6.533,-3.56542,6.77361,5.25514,-3.74688,4.92654,4.80744,-4.13085,3.62019,6.62595,-4.12272,1.91806,7.61569,-4.91564,4.68373,6.07867,-4.05952,7.93711,6.86637,-4.29949,2.83063,7.13571,-4.19441,4.56925,7.55037,-4.03466,2.98552,7.48379,-4.11268,5.01366,6.92585,-3.80464,3.68766,6.70611,-5.19502,3.7514,5.52827,-3.87259,6.11387,6.53587,-4.36582,4.14488,6.14243,-3.94012,3.23726,7.25671,-4.39835,4.69224,5.93492,-4.50134,4.0635,6.05625,-3.65962,2.83525,5.89532,-4.39356,4.21089,7.6875,-4.74318,4.69775,7.26864,-3.25264,1.82401,7.34718,-3.90997,4.40974,8.08115,-4.78067,3.65678,7.12139,-3.89489,3.68614,7.84692,-4.32228,2.40781,7.64983,-4.49127,2.57526,8.25217
97,-3.90321,4.22229,8.34723,-4.2282,6.9626,8.18466,-4.85666,3.18301,7.15457,-4.97393,4.05639,6.67544,-4.56781,5.31914,7.46301,-3.88936,2.82264,7.48996,-4.81306,1.53217,6.59199,-4.39254,3.41715,7.18283,-4.82997,3.47839,6.99042,-4.58915,2.94495,6.40384,-3.5823,6.90179,5.16161,-3.85221,5.0275,4.69297,-4.21716,3.65515,6.58295,-4.13689,2.06633,7.55464,-4.92199,4.80999,5.95401,-4.11522,8.07213,6.81007,-4.38252,3.048,7.01682,-4.24892,4.66783,7.48369,-4.0947,3.12621,7.40691,-4.15586,5.10966,6.87641,-3.83937,3.85962,6.63195,-5.2255,3.9483,5.49231,-3.89649,6.28333,6.47572,-4.43188,4.25854,6.0938,-3.97103,3.3995,7.20404,-4.45537,4.76448,5.89475,-4.54689,4.22423,6.07052,-3.64591,3.00762,5.88626,-4.38082,4.35436,7.5626,-4.80781,4.79159,7.18056,-3.29475,1.98043,7.34067,-3.96925,4.58422,8.04082,-4.81629,3.79857,6.99049,-3.97921,3.82129,7.82178,-4.39448,2.5534,7.56194,-4.59383,2.79385,8.14738
98,-3.91135,4.37952,8.23895,-4.29544,7.1604,8.1497,-4.85684,3.33795,7.01709,-5.02912,4.33063,6.60944,-4.59294,5.56803,7.4159,-3.90928,2.99892,7.40888,-4.82227,1.73258,6.58513,-4.40244,3.67297,7.15704,-4.86555,3.69874,6.86526,-4.62692,3.10173,6.2852,-3.59381,7.02887,5.07639,-3.94794,5.13936,4.58682,-4.28734,3.7041,6.55478,-4.14198,2.22386,7.49753,-4.92594,4.95468,5.85325,-4.16283,8.21473,6.76416,-4.45034,3.30148,6.91078,-4.28778,4.76778,7.42218,-4.14358,3.28201,7.34661,-4.19431,5.21175,6.81782,-3.86709,4.05223,6.57146,-5.25013,4.16041,5.45267,-3.92138,6.46091,6.42405,-4.49247,4.37784,6.0539,-4.00059,3.57518,7.15551,-4.48719,4.86286,5.85349,-4.57842,4.38356,6.09631,-3.62308,3.18508,5.89368,-4.35721,4.50843,7.44917,-4.8604,4.88196,7.10687,-3.32258,2.17066,7.33851,-4.02839,4.76418,8.00952,-4.84257,3.9652,6.86648,-4.05252,3.97954,7.7931,-4.45691,2.72118,7.46491,-4.68856,3.03665,8.03499
99,-3.92043,4.53278,8.12325,-4.35646,7.35292,8.11199,-4.84598,3.48378,6.88985,-5.06642,4.59937,6.54273,-4.61357,5.81104,7.37074,-3.91607,3.18008,7.32582,-4.82257,1.94777,6.57781,-4.41157,3.93258,7.14195,-4.891,3.90335,6.76012,-4.64656,3.28217,6.17838,-3.60146,7.147,4.99502,-4.02911,5.2582,4.48984,-4.33996,3.77036,6.54021,-4.14085,2.38703,7.44878,-4.92886,5.11098,5.77826,-4.20111,8.36198,6.72777,-4.50633,3.58319,6.82419,-4.31389,4.87179,7.36629,-4.18298,3.45082,7.30053,-4.22893,5.31881,6.7508,-3.88853,4.26071,6.5213,-5.26897,4.38277,5.41022,-3.94776,6.64533,6.37736,-4.5459,4.50103,6.01994,-4.02886,3.76515,7.10546,-4.49737,4.98311,5.80893,-4.59804,4.53922,6.12265,-3.59506,3.36664,5.91491,-4.32703,4.6676,7.35322,-4.89956,4.96808,7.0505,-3.33843,2.39525,7.33799,-4.08621,4.94699,7.98773,-4.86138,4.15514,6.75173,-4.11214,4.15877,7.76337,-4.50723,2.90783,7.36645,-4.77138,3.29674,7.92514
100,-3.92646,4.6799,7.99591,-4.4073,7.5353,8.06805,-4.82418,3.61452,6.77336,-5.08272,4.85292,6.47117,-4.62961,6.042,7.32763,-3.90889,3.36079,7.24082,-4.81282,2.17227,6.56611,-4.41721,4.18289,7.12919,-4.90329,4.08145,6.67072,-4.6496,3.47932,6.08179,-3.60589,7.24849,4.91128,-4.09172,5.37906,4.40097,-4.37366,3.85545,6.53377,-4.13509,2.55185,7.40923,-4.92963,5.26968,5.7251,-4.22788,8.50978,6.69657,-4.55336,3.88332,6.75925,-4.32951,4.98198,7.31293,-4.21268,3.62909,7.26269,-4.25928,5.42837,6.67399,-3.90323,4.47863,6.47548,-5.28046,4.60904,5.3643,-3.97342,6.83443,6.32964,-4.59016,4.62625,5.98632,-4.05387,3.96935,7.0462,-4.49152,5.11895,5.75914,-4.6064,4.69076,6.13879,-3.5649,3.55082,5.94453,-4.29285,4.82625,7.27497,-4.92368,5.05024,7.00922,-3.34385,2.65208,7.3353,-4.13988,5.129,7.97283,-4.87339,4.36513,6.64476,-4.15653,4.35574,7.73463,-4.54367,3.10842,7.27326,-4.83792,3.56481,7.82527
101,-3.92325,4.81756,7.85247,-4.44212,7.70087,8.01186,-4.79083,3.72494,6.66535,-5.07465,5.08198,6.39055,-4.63929,6.25442,7.28486,-3.88695,3.53456,7.15226,-4.78977,2.39909,6.54423,-4.41429,4.40974,7.10776,-4.89731,4.22161,6.58842,-4.63717,3.68351,5.99135,-3.60669,7.32618,4.818,-4.13328,5.49659,4.31754,-4.38665,3.95849,6.52692,-4.12437,2.71362,7.37607,-4.92415,5.42009,5.68473,-4.23958,8.65305,6.66318,-4.59248,4.1905,6.71341,-4.33525,5.09886,7.25591,-4.23,3.81099,7.2243,-4.28329,5.53637,6.58451,-3.90927,4.69785,6.42662,-5.28164,4.83115,5.31242,-3.99331,7.02457,6.27337,-4.62244,4.75102,5.94562,-4.07136,4.18564,6.96959,-4.47489,5.26322,5.70196,-4.60267,4.83794,6.13592,-3.53398,3.73542,5.97543,-4.255,4.97844,7.20901,-4.93086,5.12962,6.97606,-3.3388,2.93519,7.32598,-4.18424,5.30537,7.95918,-4.87731,4.58927,6.54111,-4.18431,4.56618,7.70796,-4.56444,3.31649,7.18954,-4.88328,3.82903,7.7384